City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,choroszcz,53.1433,22.9889,296.09,49,Clear,1.97,PL,1686847190
114,banff,51.1762,-115.5698,281.72,87,Clouds,1.54,CA,1686847050
115,nabire,-3.3667,135.4833,296.79,93,Clouds,1.63,ID,1686847192
116,alaghsas,17.0187,8.0168,314.09,26,Thunderstorm,3.09,NE,1686847193
117,salida,37.7058,-121.0849,296.67,68,Clear,4.12,US,1686847194
118,mount pearl,47.5166,-52.7813,287.51,78,Clouds,5.66,CA,1686847194
119,oranjemund,-28.55,16.4333,288.89,81,Clouds,1.84,NA,1686847195
120,tucumcari,35.1717,-103.725,299.23,49,Clear,3.09,US,1686847196
121,koryazhma,61.3143,47.1691,290.4,57,Clear,1.77,RU,1686847197
122,malango,-2.9627,119.9001,291.75,96,Clouds,0.82,ID,1686847198
123,west island,-12.1568,96.8225,299.14,89,Rain,7.02,CC,1686847199
124,howard springs,-12.497,131.047,293.61,44,Clouds,2.67,AU,1686847201
125,fornacette,43.6667,10.5667,301.69,57,Clouds,5.14,IT,1686847201
126,gadzhiyevo,69.2551,33.3362,279.68,63,Clouds,10.09,RU,1686847202
127,najran,17.4924,44.1277,307.51,21,Clouds,1.86,SA,1686847203
128,alofi,-19.0595,-169.9187,295.09,94,Clouds,1.54,NU,1686847204
129,ancud,-41.8697,-73.8203,281.83,65,Clouds,3.3,CL,1686847205
130,leava,-14.3,-178.1667,300.43,81,Rain,4.33,WF,1686847206
131,hammerfest,70.6634,23.6821,279.4,70,Clouds,3.09,NO,1686847208
132,mandera,3.9366,41.867,304.07,41,Clouds,5.49,KE,1686847209
133,vegreville,53.5001,-112.0518,283.32,87,Rain,13.89,CA,1686846961
134,dudinka,69.4058,86.1778,280.72,82,Clouds,3.01,RU,1686847210
135,isabela,6.7085,121.9711,299.12,84,Clouds,2.37,PH,1686847212
136,magadan,59.5667,150.8,280.34,97,Clouds,0.75,RU,1686847213
137,le vauclin,14.5452,-60.8388,305.18,66,Clouds,9.26,MQ,1686847213
138,takayama,36.1333,137.25,288.9,99,Rain,0.96,JP,1686847214
139,morondava,-20.2833,44.2833,296.9,62,Clear,4.09,MG,1686847215
140,fort st. john,56.2499,-120.8529,284.09,82,Smoke,2.06,CA,1686847216
141,valchedram,43.6964,23.4447,291.99,96,Clouds,2.78,BG,1686847217
142,soldanesti,47.8153,28.7967,295.92,61,Clouds,2.16,MD,1686847218
143,iqaluit,63.7506,-68.5145,277.0,64,Clouds,7.2,CA,1686847219
144,al ain city,24.1917,55.7606,310.94,37,Clear,6.69,AE,1686847219
145,badger,64.8,-147.5333,286.56,65,Clouds,2.57,US,1686847220
146,punta arenas,-53.15,-70.9167,277.16,68,Clouds,10.14,CL,1686847088
147,tsiombe,-25.3,45.4833,292.55,76,Clear,1.72,MG,1686847223
148,tomatlan,19.9333,-105.25,307.31,35,Clouds,3.33,MX,1686847224
149,saint croix,17.7397,-64.7388,304.4,62,Clouds,8.23,VI,1686847225
150,hilo,19.7297,-155.09,297.19,99,Rain,2.06,US,1686847225
151,viseu,40.661,-7.9097,304.18,35,Clouds,3.17,PT,1686847226
152,zhanaozen,43.3,52.8,304.88,13,Clouds,1.41,KZ,1686847227
153,new norfolk,-42.7826,147.0587,281.87,81,Clouds,0.89,AU,1686847228
154,jiuquan,39.7432,98.5174,296.4,17,Clouds,1.59,CN,1686847229
155,oyama,36.3,139.8,291.12,96,Rain,2.46,JP,1686847230
156,celestun,20.8667,-90.4,307.15,53,Clear,2.57,MX,1686847231
157,remire-montjoly,4.9167,-52.2667,303.17,66,Rain,4.12,GF,1686846994
158,thief river falls,48.1191,-96.1812,291.68,59,Clear,6.69,US,1686847233
159,bredasdorp,-34.5322,20.0403,284.71,88,Clouds,3.76,ZA,1686847234
160,uturoa,-16.7333,-151.4333,300.53,81,Clouds,8.03,PF,1686847235
161,songyang,34.4553,113.0281,297.9,50,Clouds,2.16,CN,1686847236
162,st. john's,47.5649,-52.7093,287.97,79,Rain,5.66,CA,1686847200
163,bandar lampung,-5.4254,105.258,296.51,92,Clouds,0.88,ID,1686847237
164,auki,-8.7676,160.7034,298.23,87,Clouds,1.48,SB,1686847238
165,aasiaat,68.7098,-52.8699,273.84,79,Clouds,3.99,GL,1686847239
166,richards bay,-28.783,32.0377,292.63,78,Clear,3.25,ZA,1686847241
167,praia da vitoria,38.7333,-27.0667,297.29,64,Clouds,5.7,PT,1686847242
168,yellowknife,62.456,-114.3525,287.44,54,Clouds,5.66,CA,1686847243
169,hadibu,12.65,54.0333,301.41,76,Clouds,7.76,YE,1686847244
170,nejo,9.5,35.5,289.24,90,Clouds,1.2,ET,1686847245
171,klyuchi,52.2667,79.1667,291.24,43,Clouds,3.37,RU,1686847246
172,le blanc,46.6667,1.1667,303.37,48,Clouds,1.79,FR,1686847248
173,kununurra,-15.7667,128.7333,289.14,88,Clouds,0.0,AU,1686847251
174,tamanrasset,22.785,5.5228,309.1,12,Clouds,3.6,DZ,1686847251
175,ushuaia,-54.8,-68.3,276.96,70,Clouds,2.57,AR,1686847252
176,castillos,-34.1667,-53.8333,287.98,62,Clouds,2.88,UY,1686847252
177,woodend,-43.3167,172.6667,284.79,75,Clouds,2.03,NZ,1686847253
178,shira,54.4911,89.9531,283.08,73,Clear,2.42,RU,1686847254
179,broome,42.2506,-75.833,296.83,59,Clouds,4.12,US,1686847255
180,porto novo,6.4965,2.6036,300.05,90,Rain,3.75,BJ,1686847256
181,port elizabeth,-33.918,25.5701,287.31,93,Rain,9.26,ZA,1686847257
182,minzhu,43.7286,127.3447,289.53,90,Clouds,1.02,CN,1686847257
183,petauke,-14.2426,31.3253,292.5,32,Clouds,1.07,ZM,1686847258
184,mersa matruh,31.3525,27.2453,298.32,61,Clear,5.3,EG,1686847259
185,whitehorse,60.7161,-135.0538,283.2,53,Clouds,6.17,CA,1686847058
186,sinabang,2.4803,96.3801,300.15,76,Clouds,0.58,ID,1686847261
187,barreiro do jaiba,-15.6167,-43.6,305.54,28,Clouds,2.13,BR,1686847262
188,westport,41.1415,-73.3579,297.22,62,Clouds,4.63,US,1686847264
189,bayganin,48.6947,55.8742,299.4,24,Clouds,4.01,KZ,1686847264
190,arteche,12.2645,125.4048,299.63,88,Clouds,3.21,PH,1686847265
191,kupang,-10.1667,123.5833,295.64,84,Clouds,3.47,ID,1686847265
192,atafu village,-8.5421,-172.5159,302.0,74,Rain,8.45,TK,1686847266
193,sandnessjoen,66.0217,12.6316,292.44,82,Clouds,6.69,NO,1686847266
194,saldanha,-33.0117,17.9442,288.18,84,Clouds,2.13,ZA,1686847267
195,nantucket,41.2835,-70.0995,294.9,72,Clear,7.72,US,1686847028
196,tocopilla,-22.092,-70.1979,294.43,61,Clear,1.9,CL,1686847268
197,kuybyshev,55.4475,78.3218,285.78,82,Clouds,3.04,RU,1686847269
198,karlovac,45.4872,15.5478,297.11,82,Rain,3.25,HR,1686847270
199,ponta delgada,37.7333,-25.6667,294.55,88,Rain,5.66,PT,1686847271
200,eenhana,-17.4667,16.3333,292.99,12,Clear,2.03,NA,1686847271
201,tolanaro,-25.0319,46.9987,293.19,83,Clear,0.0,MG,1686847273
202,baracoa,20.3467,-74.4958,304.51,65,Clouds,1.85,CU,1686847273
203,hermanus,-34.4187,19.2345,287.48,81,Clouds,4.29,ZA,1686847274
204,berdigestyakh,62.0989,126.6992,283.58,95,Rain,6.36,RU,1686847276
205,akureyri,65.6835,-18.0878,290.11,67,Clouds,6.69,IS,1686847276
206,baniachang,24.5167,91.3667,297.87,95,Rain,3.0,BD,1686847277
207,kone,-21.0595,164.8658,293.44,77,Clouds,1.87,NC,1686847278
208,lubango,-14.9172,13.4925,296.07,20,Clear,2.57,AO,1686847279
209,pangai,-19.8,-174.35,296.13,71,Rain,4.75,TO,1686847280
210,zyryanovsk,49.7386,84.2719,284.89,74,Clear,0.48,KZ,1686847281
211,todos santos,23.45,-110.2167,296.91,61,Clouds,2.24,MX,1686847282
212,tromso,69.6496,18.957,282.8,76,Clouds,2.06,NO,1686847283
213,boca suno,-0.7167,-77.1333,295.92,98,Clouds,1.72,EC,1686847284
214,trasacco,41.9569,13.5345,293.3,72,Rain,1.25,IT,1686847285
215,ivdel',60.6911,60.4206,284.67,58,Clouds,2.2,RU,1686847286
216,maintirano,-18.0667,44.0167,297.25,65,Clear,3.73,MG,1686847287
217,bairnsdale,-37.8333,147.6167,281.89,83,Clouds,2.93,AU,1686847287
218,beyla,8.6833,-8.6333,298.28,87,Rain,0.89,GN,1686847288
219,elimaki,60.7167,26.4667,299.63,32,Clear,2.27,FI,1686847290
220,robbah,33.2797,6.9098,304.95,26,Clear,3.47,DZ,1686847291
221,avarua,-21.2078,-159.775,294.18,100,Rain,1.03,CK,1686847294
222,berezovo,63.9381,65.0419,281.76,59,Clouds,3.14,RU,1686847294
223,mutum,-19.8,-41.4383,302.52,41,Clouds,1.42,BR,1686847296
224,klamath falls,42.2249,-121.7817,288.63,46,Clear,1.79,US,1686847041
225,sona,45.4388,10.8255,298.12,53,Rain,3.09,IT,1686847299
226,berezovyy,51.6667,135.7,282.0,95,Clear,1.35,RU,1686847299
227,arno,60.1167,18.6333,289.14,52,Clouds,2.84,SE,1686847300
228,marechal candido rondon,-24.5561,-54.0567,285.17,91,Clouds,2.51,BR,1686847301
229,ust-nera,64.5667,143.2,283.24,80,Clouds,1.3,RU,1686847302
